DATE,TIME,MKW
2020/1/1,0:00,1354
2020/1/1,1:00,1309
2020/1/1,2:00,1311
2020/1/1,3:00,1303
2020/1/1,4:00,1260
2020/1/1,5:00,1206
2020/1/1,6:00,1194
2020/1/1,7:00,1252
2020/1/1,8:00,1353
2020/1/1,9:00,1357
2020/1/1,10:00,1332
2020/1/1,11:00,1283
2020/1/1,12:00,1270
2020/1/1,13:00,1239
2020/1/1,14:00,1221
2020/1/1,15:00,1235
2020/1/1,16:00,1286
2020/1/1,17:00,1406
2020/1/1,18:00,1457
2020/1/1,19:00,1456
2020/1/1,20:00,1453
2020/1/1,21:00,1442
2020/1/1,22:00,1395
2020/1/1,23:00,1351
2020/1/2,0:00,1274
2020/1/2,1:00,1230
2020/1/2,2:00,1247
2020/1/2,3:00,1248
2020/1/2,4:00,1212
2020/1/2,5:00,1170
2020/1/2,6:00,1185
2020/1/2,7:00,1266
2020/1/2,8:00,1378
2020/1/2,9:00,1395
2020/1/2,10:00,1353
2020/1/2,11:00,1318
2020/1/2,12:00,1290
2020/1/2,13:00,1256
2020/1/2,14:00,1246
2020/1/2,15:00,1262
2020/1/2,16:00,1306
2020/1/2,17:00,1436
2020/1/2,18:00,1487
2020/1/2,19:00,1487
2020/1/2,20:00,1475
2020/1/2,21:00,1450
2020/1/2,22:00,1392
2020/1/2,23:00,1339
2020/1/3,0:00,1259
2020/1/3,1:00,1220
2020/1/3,2:00,1242
2020/1/3,3:00,1243
2020/1/3,4:00,1212
2020/1/3,5:00,1168
2020/1/3,6:00,1174
2020/1/3,7:00,1245
2020/1/3,8:00,1377
2020/1/3,9:00,1419
2020/1/3,10:00,1387
2020/1/3,11:00,1357
2020/1/3,12:00,1326
2020/1/3,13:00,1294
2020/1/3,14:00,1284
2020/1/3,15:00,1294
2020/1/3,16:00,1343
2020/1/3,17:00,1462
2020/1/3,18:00,1513
2020/1/3,19:00,1509
2020/1/3,20:00,1497
2020/1/3,21:00,1460
2020/1/3,22:00,1394
2020/1/3,23:00,1339
2020/1/4,0:00,1263
2020/1/4,1:00,1222
2020/1/4,2:00,1244
2020/1/4,3:00,1249
2020/1/4,4:00,1223
2020/1/4,5:00,1185
2020/1/4,6:00,1204
2020/1/4,7:00,1295
2020/1/4,8:00,1443
2020/1/4,9:00,1505
2020/1/4,10:00,1485
2020/1/4,11:00,1445
2020/1/4,12:00,1413
2020/1/4,13:00,1394
2020/1/4,14:00,1379
2020/1/4,15:00,1402
2020/1/4,16:00,1455
2020/1/4,17:00,1578
2020/1/4,18:00,1615
2020/1/4,19:00,1607
2020/1/4,20:00,1586
2020/1/4,21:00,1535
2020/1/4,22:00,1464
2020/1/4,23:00,1405
2020/1/5,0:00,1323
2020/1/5,1:00,1281
2020/1/5,2:00,1303
2020/1/5,3:00,1315
2020/1/5,4:00,1291
2020/1/5,5:00,1245
2020/1/5,6:00,1253
2020/1/5,7:00,1341
2020/1/5,8:00,1498
2020/1/5,9:00,1576
2020/1/5,10:00,1574
2020/1/5,11:00,1561
2020/1/5,12:00,1553
2020/1/5,13:00,1537
2020/1/5,14:00,1513
2020/1/5,15:00,1535
2020/1/5,16:00,1602
2020/1/5,17:00,1737
2020/1/5,18:00,1788
2020/1/5,19:00,1781
2020/1/5,20:00,1748
2020/1/5,21:00,1695
2020/1/5,22:00,1593
2020/1/5,23:00,1501
2020/1/6,0:00,1411
2020/1/6,1:00,1365
2020/1/6,2:00,1392
2020/1/6,3:00,1398
2020/1/6,4:00,1396
2020/1/6,5:00,1417
2020/1/6,6:00,1556
2020/1/6,7:00,1767
2020/1/6,8:00,1974
2020/1/6,9:00,2062
2020/1/6,10:00,2022
2020/1/6,11:00,1974
2020/1/6,12:00,1871
2020/1/6,13:00,1940
2020/1/6,14:00,1940
2020/1/6,15:00,1941
2020/1/6,16:00,1983
2020/1/6,17:00,2008
2020/1/6,18:00,1993
2020/1/6,19:00,1952
2020/1/6,20:00,1895
2020/1/6,21:00,1827
2020/1/6,22:00,1737
2020/1/6,23:00,1637
2020/1/7,0:00,1522
2020/1/7,1:00,1473
2020/1/7,2:00,1504
2020/1/7,3:00,1517
2020/1/7,4:00,1502
2020/1/7,5:00,1500
2020/1/7,6:00,1634
2020/1/7,7:00,1820
2020/1/7,8:00,2086
2020/1/7,9:00,2239
2020/1/7,10:00,2250
2020/1/7,11:00,2253
2020/1/7,12:00,2154
2020/1/7,13:00,2204
2020/1/7,14:00,2192
2020/1/7,15:00,2177
2020/1/7,16:00,2178
2020/1/7,17:00,2169
2020/1/7,18:00,2123
2020/1/7,19:00,2042
2020/1/7,20:00,1955
2020/1/7,21:00,1866
2020/1/7,22:00,1761
2020/1/7,23:00,1644
2020/1/8,0:00,1511
2020/1/8,1:00,1452
2020/1/8,2:00,1470
2020/1/8,3:00,1481
2020/1/8,4:00,1468
2020/1/8,5:00,1447
2020/1/8,6:00,1553
2020/1/8,7:00,1729
2020/1/8,8:00,1943
2020/1/8,9:00,2036
2020/1/8,10:00,1976
2020/1/8,11:00,1914
2020/1/8,12:00,1806
2020/1/8,13:00,1886
2020/1/8,14:00,1886
2020/1/8,15:00,1891
2020/1/8,16:00,1920
2020/1/8,17:00,1937
2020/1/8,18:00,1926
2020/1/8,19:00,1878
2020/1/8,20:00,1819
2020/1/8,21:00,1756
2020/1/8,22:00,1680
2020/1/8,23:00,1585
2020/1/9,0:00,1469
2020/1/9,1:00,1423
2020/1/9,2:00,1457
2020/1/9,3:00,1478
2020/1/9,4:00,1468
2020/1/9,5:00,1461
2020/1/9,6:00,1580
2020/1/9,7:00,1741
2020/1/9,8:00,1921
2020/1/9,9:00,2006
2020/1/9,10:00,1983
2020/1/9,11:00,1954
2020/1/9,12:00,1830
2020/1/9,13:00,1879
2020/1/9,14:00,1871
2020/1/9,15:00,1872
2020/1/9,16:00,1911
2020/1/9,17:00,1953
2020/1/9,18:00,1952
2020/1/9,19:00,1893
2020/1/9,20:00,1830
2020/1/9,21:00,1761
2020/1/9,22:00,1686
2020/1/9,23:00,1594
2020/1/10,0:00,1479
2020/1/10,1:00,1440
2020/1/10,2:00,1470
2020/1/10,3:00,1495
2020/1/10,4:00,1494
2020/1/10,5:00,1501
2020/1/10,6:00,1618
2020/1/10,7:00,1784
2020/1/10,8:00,1953
2020/1/10,9:00,2028
2020/1/10,10:00,1992
2020/1/10,11:00,1952
2020/1/10,12:00,1841
2020/1/10,13:00,1897
2020/1/10,14:00,1897
2020/1/10,15:00,1906
2020/1/10,16:00,1953
2020/1/10,17:00,1985
2020/1/10,18:00,1975
2020/1/10,19:00,1923
2020/1/10,20:00,1864
2020/1/10,21:00,1801
2020/1/10,22:00,1741
2020/1/10,23:00,1672
2020/1/11,0:00,1578
2020/1/11,1:00,1521
2020/1/11,2:00,1542
2020/1/11,3:00,1554
2020/1/11,4:00,1518
2020/1/11,5:00,1479
2020/1/11,6:00,1520
2020/1/11,7:00,1635
2020/1/11,8:00,1800
2020/1/11,9:00,1861
2020/1/11,10:00,1795
2020/1/11,11:00,1726
2020/1/11,12:00,1625
2020/1/11,13:00,1612
2020/1/11,14:00,1593
2020/1/11,15:00,1589
2020/1/11,16:00,1624
2020/1/11,17:00,1714
2020/1/11,18:00,1761
2020/1/11,19:00,1745
2020/1/11,20:00,1716
2020/1/11,21:00,1668
2020/1/11,22:00,1602
2020/1/11,23:00,1545
2020/1/12,0:00,1464
2020/1/12,1:00,1421
2020/1/12,2:00,1445
2020/1/12,3:00,1454
2020/1/12,4:00,1420
2020/1/12,5:00,1368
2020/1/12,6:00,1369
2020/1/12,7:00,1449
2020/1/12,8:00,1602
2020/1/12,9:00,1694
2020/1/12,10:00,1706
2020/1/12,11:00,1686
2020/1/12,12:00,1655
2020/1/12,13:00,1628
2020/1/12,14:00,1593
2020/1/12,15:00,1594
2020/1/12,16:00,1635
2020/1/12,17:00,1731
2020/1/12,18:00,1770
2020/1/12,19:00,1753
2020/1/12,20:00,1719
2020/1/12,21:00,1660
2020/1/12,22:00,1571
2020/1/12,23:00,1488
2020/1/13,0:00,1392
2020/1/13,1:00,1351
2020/1/13,2:00,1382
2020/1/13,3:00,1409
2020/1/13,4:00,1393
2020/1/13,5:00,1365
2020/1/13,6:00,1399
2020/1/13,7:00,1506
2020/1/13,8:00,1667
2020/1/13,9:00,1738
2020/1/13,10:00,1708
2020/1/13,11:00,1668
2020/1/13,12:00,1623
2020/1/13,13:00,1635
2020/1/13,14:00,1636
2020/1/13,15:00,1649
2020/1/13,16:00,1705
2020/1/13,17:00,1820
2020/1/13,18:00,1867
2020/1/13,19:00,1854
2020/1/13,20:00,1823
2020/1/13,21:00,1770
2020/1/13,22:00,1671
2020/1/13,23:00,1583
2020/1/14,0:00,1497
2020/1/14,1:00,1459
2020/1/14,2:00,1493
2020/1/14,3:00,1509
2020/1/14,4:00,1504
2020/1/14,5:00,1517
2020/1/14,6:00,1676
2020/1/14,7:00,1885
2020/1/14,8:00,2068
2020/1/14,9:00,2136
2020/1/14,10:00,2094
